,Pearson's r,Pearson's r (abs),p-value
occipital temporal,0.37356093056767864,0.37356093056767864,0.0
task irrelevant,0.37265492818114787,0.37265492818114787,0.0
imitation,0.37263861856708436,0.37263861856708436,0.0
lingual,0.37178703740262553,0.37178703740262553,0.0
stimulus,0.37019575915596015,0.37019575915596015,0.0
observation,0.3699028429510696,0.3699028429510696,0.0
sensitive,0.3681530753203297,0.3681530753203297,0.0
cerebellar,0.36802656010609835,0.36802656010609835,0.0
perceive,0.36787880484562674,0.36787880484562674,0.0
able,0.3666670263756193,0.3666670263756193,0.0
identical,0.3664051785257275,0.3664051785257275,0.0
modal,0.366199882147891,0.366199882147891,0.0
visually,0.36586211133249913,0.36586211133249913,0.0
near,0.365728942153822,0.365728942153822,0.0
tracking,0.36519418847353546,0.36519418847353546,0.0
sighted,0.3648246524228567,0.3648246524228567,0.0
pre sma,0.36481248011127315,0.36481248011127315,0.0
neurons,0.3644550825651127,0.3644550825651127,0.0
target,0.36393049304405356,0.36393049304405356,0.0
sites,0.3637726202008389,0.3637726202008389,0.0
recordings,0.3629544289240852,0.3629544289240852,0.0
object,0.36238465282165233,0.36238465282165233,0.0
exploration,0.3623783797273809,0.3623783797273809,0.0
cross modal,0.3611628567935399,0.3611628567935399,0.0
superior inferior,0.36090061204478574,0.36090061204478574,0.0
spatial attention,0.3608227894602375,0.3608227894602375,0.0
occipitotemporal cortex,0.36063063332442385,0.36063063332442385,0.0
upcoming,0.36011957578332876,0.36011957578332876,0.0
stimuli presented,0.3591909554120526,0.3591909554120526,0.0
hemisphere,0.35821009274696747,0.35821009274696747,0.0
sided,0.3581832317258198,0.3581832317258198,0.0
visual motion,0.3577289395704657,0.3577289395704657,0.0
percept,0.35664374406675003,0.35664374406675003,0.0
stimuli,0.35662277579027446,0.35662277579027446,0.0
modalities,0.3560171093403218,0.3560171093403218,0.0
selective attention,0.3556252655110578,0.3556252655110578,0.0
category,0.35437089519160403,0.35437089519160403,0.0
presentation,0.35421841903342566,0.35421841903342566,0.0
fields,0.35383187487477546,0.35383187487477546,0.0
attended,0.35380750144958606,0.35380750144958606,0.0
stream,0.35372760098996214,0.35372760098996214,0.0
action,0.3530374143411492,0.3530374143411492,0.0
activate,0.35246427016560616,0.35246427016560616,0.0
perceived,0.3518892389046319,0.3518892389046319,0.0
relevant information,0.3518366337065982,0.3518366337065982,0.0
experiments,0.35173582351155375,0.35173582351155375,0.0
triggered,0.3516514461992406,0.3516514461992406,0.0
detection,0.3515301626182815,0.3515301626182815,0.0
video,0.3514317809557943,0.3514317809557943,0.0
shape,0.35138254680780184,0.35138254680780184,0.0
attentional,0.35023880734996843,0.35023880734996843,0.0
response selection,0.3501809025757143,0.3501809025757143,0.0
preparation,0.34988599457742064,0.34988599457742064,0.0
input,0.34954755486208705,0.34954755486208705,0.0
matching,0.3493472802386298,0.3493472802386298,0.0
irrelevant,0.3489889929042539,0.3489889929042539,0.0
primary visual,0.3486833884540022,0.3486833884540022,0.0
color,0.3482312624108329,0.3482312624108329,0.0
orienting,0.3481719816344634,0.3481719816344634,0.0
temporal occipital,0.3478252859030303,0.3478252859030303,0.0
bilaterally,0.3477829493279974,0.3477829493279974,0.0
early stage,0.34733624809472763,0.34733624809472763,0.0
adaptation,0.34711584661916267,0.34711584661916267,0.0
efficient,0.34682519709800763,0.34682519709800763,0.0
movements,0.34668037332346857,0.34668037332346857,0.0
observing,0.34660596014881784,0.34660596014881784,0.0
concurrently,0.34645594839812244,0.34645594839812244,0.0
vermis,0.34639169783320567,0.34639169783320567,0.0
location,0.3460164853392031,0.3460164853392031,0.0
visual perception,0.34549521939913785,0.34549521939913785,0.0
motor responses,0.3453835143648266,0.3453835143648266,0.0
3d,0.3448816967414169,0.3448816967414169,0.0
static,0.3443334290542491,0.3443334290542491,0.0
lobules,0.34413875251092857,0.34413875251092857,0.0
induces,0.3441134535466159,0.3441134535466159,0.0
cortical involved,0.34396308415158816,0.34396308415158816,0.0
visual information,0.3436595838662253,0.3436595838662253,0.0
hemispheres,0.34337457758174694,0.34337457758174694,0.0
specialized,0.3432983428837738,0.3432983428837738,0.0
crus,0.343238019118349,0.343238019118349,0.0
pre,0.34289969778708373,0.34289969778708373,0.0
fusiform,0.3428302762615321,0.3428302762615321,0.0
visual stream,0.34279314938143585,0.34279314938143585,0.0
conclude,0.34266294204196734,0.34266294204196734,0.0
produced,0.34250761684242864,0.34250761684242864,0.0
sma,0.3424843803507475,0.3424843803507475,0.0
confirmed,0.34231088104422724,0.34231088104422724,0.0
pre supplementary,0.34208098449281404,0.34208098449281404,0.0
objects,0.3418689011966106,0.3418689011966106,0.0
observer,0.3408672183367711,0.3408672183367711,0.0
action observation,0.34052742183766105,0.34052742183766105,0.0
latencies,0.3404769447236556,0.3404769447236556,0.0
longer,0.33952196154131065,0.33952196154131065,0.0
biological,0.3394016041923218,0.3394016041923218,0.0
congruency,0.33918296279934024,0.33918296279934024,0.0
actual,0.3389084675167993,0.3389084675167993,0.0
activations,0.3386990003434281,0.3386990003434281,0.0
middle occipital,0.3385452661419621,0.3385452661419621,0.0
fusiform gyrus,0.33846142133626356,0.33846142133626356,0.0
fixed,0.3383491080818372,0.3383491080818372,0.0
premotor cortex,0.3380410099557118,0.3380410099557118,0.0
faster,0.33802606481426056,0.33802606481426056,0.0
simple,0.3379462881447361,0.3379462881447361,0.0
equal,0.3376612485538341,0.3376612485538341,0.0
sources,0.3376109721099984,0.3376109721099984,0.0
dynamic causal,0.3373881781411786,0.3373881781411786,0.0
just,0.3373085683761534,0.3373085683761534,0.0
inhibition,0.3371499980108775,0.3371499980108775,0.0
existence,0.33712130598058787,0.33712130598058787,0.0
execution,0.3370420704801972,0.3370420704801972,0.0
evoked,0.33680542176443484,0.33680542176443484,0.0
perceiving,0.3367265844417857,0.3367265844417857,0.0
probably,0.3361004848821037,0.3361004848821037,0.0
attend,0.33609930219830314,0.33609930219830314,0.0
low high,0.33589039995109743,0.33589039995109743,0.0
feature,0.3358772881260337,0.3358772881260337,0.0
sulcus,0.33586161219895805,0.33586161219895805,0.0
single,0.3358612978987808,0.3358612978987808,0.0
rapidly,0.33562719597442914,0.33562719597442914,0.0
object recognition,0.33555173891899787,0.33555173891899787,0.0
motor,0.33548385131555614,0.33548385131555614,0.0
detecting,0.3353487694435921,0.3353487694435921,0.0
seen,0.3351105116934881,0.3351105116934881,0.0
cortical,0.33495819608051425,0.33495819608051425,0.0
attention,0.33449240586736084,0.33449240586736084,0.0
actions,0.33430617597264833,0.33430617597264833,0.0
cerebellum,0.33359921739227877,0.33359921739227877,0.0
press,0.33356245942351825,0.33356245942351825,0.0
peak,0.3334828117806429,0.3334828117806429,0.0
monkeys,0.33329930657725104,0.33329930657725104,0.0
sequences,0.33316897531863127,0.33316897531863127,0.0
cue,0.33274845722965485,0.33274845722965485,0.0
shared,0.33260384632768736,0.33260384632768736,0.0
discrimination,0.3325141788477539,0.3325141788477539,0.0
presented,0.3323953030392318,0.3323953030392318,0.0
supplementary,0.3322232650405944,0.3322232650405944,0.0
unexpected,0.33215128956086937,0.33215128956086937,0.0
result,0.332073587918599,0.332073587918599,0.0
ventral visual,0.3320433500072026,0.3320433500072026,0.0
sensory,0.3318897227487069,0.3318897227487069,0.0
normally,0.3318426425756534,0.3318426425756534,0.0
additional,0.33150389278210685,0.33150389278210685,0.0
preparatory,0.33105163753537653,0.33105163753537653,0.0
surface,0.3308836136045186,0.3308836136045186,0.0
erp,0.3304760848031307,0.3304760848031307,0.0
respond,0.3300931752446028,0.3300931752446028,0.0
carried,0.3299806579824602,0.3299806579824602,0.0
early,0.3299622680618584,0.3299622680618584,0.0
modality,0.3298306605363216,0.3298306605363216,0.0
planning,0.3294842733362132,0.3294842733362132,0.0
visually presented,0.3293098516047513,0.3293098516047513,0.0
incongruent,0.32921735480324155,0.32921735480324155,0.0
hemispheric,0.32899145838342364,0.32899145838342364,0.0
pathways,0.32875792145011,0.32875792145011,0.0
congruent incongruent,0.328502808023153,0.328502808023153,0.0
handed,0.3284737113636977,0.3284737113636977,0.0
substrate,0.3284704237442814,0.3284704237442814,0.0
stimulus driven,0.32833257926049486,0.32833257926049486,0.0
monkey,0.32802071609987976,0.32802071609987976,0.0
performing,0.3279930027355371,0.3279930027355371,0.0
premotor,0.3277955653910686,0.3277955653910686,0.0
face,0.3277050143882352,0.3277050143882352,0.0
supplementary motor,0.32732457096429857,0.32732457096429857,0.0
modeling,0.3272390201273084,0.3272390201273084,0.0
stop signal,0.3272252057207096,0.3272252057207096,0.0
late,0.32710412787933596,0.32710412787933596,0.0
vi,0.32703408581139837,0.32703408581139837,0.0
categories,0.3268981042185594,0.3268981042185594,0.0
encode,0.3268260413746045,0.3268260413746045,0.0
viewing,0.32680846615981785,0.32680846615981785,0.0
repeated,0.326753136478805,0.326753136478805,0.0
failed,0.32640111870382865,0.32640111870382865,0.0
signal task,0.3263818139987985,0.3263818139987985,0.0
contrary,0.32636924554596797,0.32636924554596797,0.0
selectivity,0.3259443415984418,0.3259443415984418,0.0
lingual gyrus,0.32585918327541985,0.32585918327541985,0.0
localized,0.3258207218746274,0.3258207218746274,0.0
predominantly,0.3256754904343978,0.3256754904343978,0.0
competition,0.32558863311950437,0.32558863311950437,0.0
pattern,0.3255484725310711,0.3255484725310711,0.0
lateralized,0.3253989460964938,0.3253989460964938,0.0
perform,0.3250641828345962,0.3250641828345962,0.0
congruent,0.3249771303620622,0.3249771303620622,0.0
response inhibition,0.3248428776587275,0.3248428776587275,0.0
responsible,0.32469433692056227,0.32469433692056227,0.0
lesions,0.32442614693100075,0.32442614693100075,0.0
targets,0.3243276724615223,0.3243276724615223,0.0
fast,0.3243072540547484,0.3243072540547484,0.0
larger,0.3242106235402804,0.3242106235402804,0.0
design,0.32390957171160395,0.32390957171160395,0.0
motor pre,0.3238190183938543,0.3238190183938543,0.0
eye fields,0.3235055091248967,0.3235055091248967,0.0
cues,0.32348698331854847,0.32348698331854847,0.0
irrespective,0.32336869549439057,0.32336869549439057,0.0
manipulations,0.3233406868403575,0.3233406868403575,0.0
fixation,0.32316377941864455,0.32316377941864455,0.0
probe,0.3229415877953581,0.3229415877953581,0.0
letters,0.3227326883590034,0.3227326883590034,0.0
visuo,0.3226254769145355,0.3226254769145355,0.0
interference,0.32251727722128304,0.32251727722128304,0.0
invariant,0.3224736347271355,0.3224736347271355,0.0
type,0.32244832347584174,0.32244832347584174,0.0
reveal,0.32243981168752917,0.32243981168752917,0.0
inhibitory,0.322392164051339,0.322392164051339,0.0
humans,0.32236147415185135,0.32236147415185135,0.0
critical role,0.3222061568651925,0.3222061568651925,0.0
costs,0.32187218198115636,0.32187218198115636,0.0
simultaneous,0.3217734413903472,0.3217734413903472,0.0
biases,0.3216816236404226,0.3216816236404226,0.0
frontal eye,0.3216145770040694,0.3216145770040694,0.0
attention task,0.3215753841350565,0.3215753841350565,0.0
images,0.32129698915867344,0.32129698915867344,0.0
rapid,0.321164353409575,0.321164353409575,0.0
showing,0.3209507555980231,0.3209507555980231,0.0
sustained,0.3204309763832763,0.3204309763832763,0.0
trial,0.3201701784284876,0.3201701784284876,0.0
chinese,0.32015548762068247,0.32015548762068247,0.0
passive viewing,0.31990865537822094,0.31990865537822094,0.0
stimulus response,0.31972273571333254,0.31972273571333254,0.0
coding,0.3196949510121926,0.3196949510121926,0.0
superior parietal,0.31967119026851526,0.31967119026851526,0.0
response,0.3196554052188301,0.3196554052188301,0.0
responsive,0.3195110360867672,0.3195110360867672,0.0
storage,0.319504403315472,0.319504403315472,0.0
watched,0.31941899971221516,0.31941899971221516,0.0
reaction times,0.319218070983665,0.319218070983665,0.0
multisensory,0.31916938421131863,0.31916938421131863,0.0
resources,0.31889761250749826,0.31889761250749826,0.0
detection task,0.3188443348976618,0.3188443348976618,0.0
discrimination task,0.3186985716520939,0.3186985716520939,0.0
lesser,0.3184656122011506,0.3184656122011506,0.0
active,0.3184017058488037,0.3184017058488037,0.0
motor response,0.31836258221331015,0.31836258221331015,0.0
expression,0.31822793021655094,0.31822793021655094,0.0
recorded,0.31794368954139807,0.31794368954139807,0.0
interval,0.3178932780068093,0.3178932780068093,0.0
tasks,0.3178182350070285,0.3178182350070285,0.0
using functional,0.31754646688123156,0.31754646688123156,0.0
basal ganglia,0.31753871186774063,0.31753871186774063,0.0
phase,0.31749277521673785,0.31749277521673785,0.0
possibly,0.31729637247705467,0.31729637247705467,0.0
decoding,0.3172929347887184,0.3172929347887184,0.0
overt,0.3171911168870898,0.3171911168870898,0.0
stop,0.3171028630383156,0.3171028630383156,0.0
superior,0.3170599545004802,0.3170599545004802,0.0
fashion,0.3170518585642583,0.3170518585642583,0.0
recognize,0.31684392785049886,0.31684392785049886,0.0
simply,0.31683879459421777,0.31683879459421777,0.0
overlapped,0.31667102283114945,0.31667102283114945,0.0
dominance,0.3165786950437369,0.3165786950437369,0.0
facial expression,0.31651731578083897,0.31651731578083897,0.0
rotation,0.3165051555708247,0.3165051555708247,0.0
imagery,0.3164387695014653,0.3164387695014653,0.0
implementation,0.316379961053858,0.316379961053858,0.0
visual attention,0.31630218325321113,0.31630218325321113,0.0
automatically,0.31625395475967916,0.31625395475967916,0.0
lack,0.31616162869445763,0.31616162869445763,0.0
target detection,0.3160076040187763,0.3160076040187763,0.0
conditions,0.3158614461575842,0.3158614461575842,0.0
automatic,0.3157400509200933,0.3157400509200933,0.0
ganglia,0.3155433758542372,0.3155433758542372,0.0
replicate,0.3154477246106111,0.3154477246106111,0.0
head,0.3152638140020487,0.3152638140020487,0.0
presumably,0.31523311844650204,0.31523311844650204,0.0
adjacent,0.3151414784696048,0.3151414784696048,0.0
visual auditory,0.3150850549042875,0.3150850549042875,0.0
low level,0.31507404170718983,0.31507404170718983,0.0
event functional,0.3150533384931038,0.3150533384931038,0.0
cortex bilaterally,0.315005460822796,0.315005460822796,0.0
experiment,0.31497496501281497,0.31497496501281497,0.0
recruitment,0.3148873722870423,0.3148873722870423,0.0
involvement,0.3147635948708183,0.3147635948708183,0.0
signals,0.31471005092638915,0.31471005092638915,0.0
appropriate,0.31465195096338844,0.31465195096338844,0.0
expectation,0.3146445740256067,0.3146445740256067,0.0
interplay,0.31457694737881103,0.31457694737881103,0.0
eye movement,0.31446922662657145,0.31446922662657145,0.0
event design,0.3142385265930697,0.3142385265930697,0.0
required,0.3140984836250806,0.3140984836250806,0.0
instructed,0.3140755739020914,0.3140755739020914,0.0
generating,0.3140277952298048,0.3140277952298048,0.0
overlapping,0.31373726852696626,0.31373726852696626,0.0
grasping,0.31373722432712103,0.31373722432712103,0.0
subtraction,0.31362338036205845,0.31362338036205845,0.0
reaction,0.3135960862993153,0.3135960862993153,0.0
bold response,0.31357863919470264,0.31357863919470264,0.0
manipulated,0.31347214863380324,0.31347214863380324,0.0
blocks,0.31340879942400585,0.31340879942400585,0.0
parietal lobules,0.31330219132694803,0.31330219132694803,0.0
elicited,0.3129812034217718,0.3129812034217718,0.0
sign,0.3129112023991772,0.3129112023991772,0.0
localization,0.31287669481501734,0.31287669481501734,0.0
involved,0.31279280040972846,0.31279280040972846,0.0
appear,0.3125258867692426,0.3125258867692426,0.0
trained,0.3124296354808902,0.3124296354808902,0.0
separate,0.31237926428574586,0.31237926428574586,0.0
shapes,0.31233208638514975,0.31233208638514975,0.0
basal,0.3121344665180162,0.3121344665180162,0.0
block,0.3121023978261222,0.3121023978261222,0.0
predictions,0.31186742157090047,0.31186742157090047,0.0
time task,0.3118304217185151,0.3118304217185151,0.0
event potential,0.31178288558481765,0.31178288558481765,0.0
naming,0.31167444559213353,0.31167444559213353,0.0
presence,0.31161956389207995,0.31161956389207995,0.0
response time,0.311590767917262,0.311590767917262,0.0
likely,0.3115145172993574,0.3115145172993574,0.0
hemodynamic response,0.31133637996211955,0.31133637996211955,0.0
term memory,0.31133555454276834,0.31133555454276834,0.0
information,0.3111804403500979,0.3111804403500979,0.0
parietal frontal,0.3111452664788233,0.3111452664788233,0.0
single trial,0.3111240143838935,0.3111240143838935,0.0
executed,0.3108661937855297,0.3108661937855297,0.0
features,0.3108608932119196,0.3108608932119196,0.0
amplitudes,0.3107808431984842,0.3107808431984842,0.0
does,0.3107212739778919,0.3107212739778919,0.0
human,0.31067319445325525,0.31067319445325525,0.0
spatially,0.3104999096982836,0.3104999096982836,0.0
hands,0.3104677834285797,0.3104677834285797,0.0
nogo,0.3103980933694853,0.3103980933694853,0.0
letter,0.3103400822533019,0.3103400822533019,0.0
specified,0.3102753451160095,0.3102753451160095,0.0
types,0.3101948305958118,0.3101948305958118,0.0
integrate,0.3100255820384593,0.3100255820384593,0.0
view,0.30998263960110944,0.30998263960110944,0.0
despite,0.3098415805880048,0.3098415805880048,0.0
stimulation,0.3097736541224197,0.3097736541224197,0.0
cuneus,0.3097419097721544,0.3097419097721544,0.0
image,0.3096216426631728,0.3096216426631728,0.0
neuronal,0.30952220811224973,0.30952220811224973,0.0
allowed,0.3094763442950513,0.3094763442950513,0.0
developed,0.30922383736461295,0.30922383736461295,0.0
causal modeling,0.30920905950611266,0.30920905950611266,0.0
fusiform gyri,0.3092047926753263,0.3092047926753263,0.0
handedness,0.30919413277613544,0.30919413277613544,0.0
controversial,0.30917427564118705,0.30917427564118705,0.0
recording,0.30908402769430926,0.30908402769430926,0.0
event,0.3090585603662773,0.3090585603662773,0.0
stage,0.30904415961690307,0.30904415961690307,0.0
speed,0.30895866411762574,0.30895866411762574,0.0
gestures,0.3089443383956332,0.3089443383956332,0.0
trials,0.30894335852074,0.30894335852074,0.0
audiovisual,0.3089306822855387,0.3089306822855387,0.0
selection,0.30891163579315134,0.30891163579315134,0.0
electrophysiological,0.30890682178837064,0.30890682178837064,0.0
streams,0.3087453976829021,0.3087453976829021,0.0
viewed,0.30857142866378307,0.30857142866378307,0.0
resonance experiment,0.30852567873948933,0.30852567873948933,0.0
space,0.30848241799408954,0.30848241799408954,0.0
parameter,0.30843497008887677,0.30843497008887677,0.0
applying,0.3082804696341991,0.3082804696341991,0.0
generation,0.308223507589564,0.308223507589564,0.0
spatial,0.3082182344289215,0.3082182344289215,0.0
responses,0.3081490580919582,0.3081490580919582,0.0
mr,0.308135179154317,0.308135179154317,0.0
complex,0.30788073436596025,0.30788073436596025,0.0
behaviorally,0.3077190851156555,0.3077190851156555,0.0
mirror,0.30752814400035855,0.30752814400035855,0.0
categorization,0.3074668071822881,0.3074668071822881,0.0
manner,0.30746510652008513,0.30746510652008513,0.0
bold responses,0.3072135897362386,0.3072135897362386,0.0
reaction time,0.3071016578856058,0.3071016578856058,0.0
practice,0.3069993773058596,0.3069993773058596,0.0
oddball,0.3068968258694189,0.3068968258694189,0.0
responds,0.3065633854114955,0.3065633854114955,0.0
point,0.3064981949923847,0.3064981949923847,0.0
orientation,0.30641699842617953,0.30641699842617953,0.0
movement,0.30633213479026705,0.30633213479026705,0.0
paradigm,0.30627584035588223,0.30627584035588223,0.0
combining,0.3062189036116573,0.3062189036116573,0.0
share,0.3061725328768854,0.3061725328768854,0.0
caudal,0.3061610706668131,0.3061610706668131,0.0
frontal parietal,0.30611337502791763,0.30611337502791763,0.0
occipital parietal,0.3060168559867213,0.3060168559867213,0.0
loop,0.3059521161834247,0.3059521161834247,0.0
activates,0.30594962505618445,0.30594962505618445,0.0
blind,0.3058910030348603,0.3058910030348603,0.0
eye field,0.305726200745723,0.305726200745723,0.0
search,0.3056145662910463,0.3056145662910463,0.0
forward,0.30545014209699006,0.30545014209699006,0.0
gyrus superior,0.3054493865736768,0.3054493865736768,0.0
putative,0.3054098149519133,0.3054098149519133,0.0
behavioral performance,0.305404965972848,0.305404965972848,0.0
model,0.3053464042632589,0.3053464042632589,0.0
fourteen,0.30533938328935367,0.30533938328935367,0.0
parietal,0.30528044925498143,0.30528044925498143,0.0
compensate,0.3051764440833401,0.3051764440833401,0.0
partly,0.3050369220337841,0.3050369220337841,0.0
factorial design,0.3049760950154875,0.3049760950154875,0.0
representations,0.30479390588643585,0.30479390588643585,0.0
effective connectivity,0.3047739355285109,0.3047739355285109,0.0
position,0.30470682684670786,0.30470682684670786,0.0
occurring,0.3046356814435239,0.3046356814435239,0.0
output,0.30446727192379064,0.30446727192379064,0.0
passively,0.3044553364468775,0.3044553364468775,0.0
settings,0.3044319940496838,0.3044319940496838,0.0
control conditions,0.30434740716693137,0.30434740716693137,0.0
located,0.30429624104926556,0.30429624104926556,0.0
following,0.30416095659371717,0.30416095659371717,0.0
reading,0.30410405817191555,0.30410405817191555,0.0
intervals,0.3039821861877555,0.3039821861877555,0.0
critical,0.3039650571610315,0.3039650571610315,0.0
ventral premotor,0.30390972479136497,0.30390972479136497,0.0
lobule,0.30384340425915435,0.30384340425915435,0.0
accounted,0.30371982499545763,0.30371982499545763,0.0
distributed,0.30356190646243153,0.30356190646243153,0.0
identity,0.3031841766485918,0.3031841766485918,0.0
tested,0.30317204300572875,0.30317204300572875,0.0
frontoparietal network,0.30315219089069706,0.30315219089069706,0.0
combined,0.3031074012253021,0.3031074012253021,0.0
fronto parietal,0.30290277345758915,0.30290277345758915,0.0
depicting,0.30289936695700076,0.30289936695700076,0.0
dynamic,0.30274370356896396,0.30274370356896396,0.0
relevant,0.3027234837603346,0.3027234837603346,0.0
lateralization,0.3026868587239391,0.3026868587239391,0.0
hemodynamic,0.3026735182275966,0.3026735182275966,0.0
direct,0.30259382999965284,0.30259382999965284,0.0
acquisition,0.30246574976998225,0.30246574976998225,0.0
notion,0.302449756928687,0.302449756928687,0.0
representation,0.30243177806873855,0.30243177806873855,0.0
called,0.3024105341363841,0.3024105341363841,0.0
manual,0.30221779231366713,0.30221779231366713,0.0
portion,0.3020123905106352,0.3020123905106352,0.0
approximately,0.3019831623551016,0.3019831623551016,0.0
level,0.30196530703212326,0.30196530703212326,0.0
dissociate,0.30195830778057847,0.30195830778057847,0.0
switch,0.3017582656530318,0.3017582656530318,0.0
interestingly,0.3014303313777391,0.3014303313777391,0.0
complexity,0.3013400831360975,0.3013400831360975,0.0
dot,0.301030541880802,0.301030541880802,0.0
expected,0.30098631369965156,0.30098631369965156,0.0
constant,0.30094959230141033,0.30094959230141033,0.0
laterality,0.30089199635340325,0.30089199635340325,0.0
putamen,0.30078652914107823,0.30078652914107823,0.0
propose,0.3007677397893671,0.3007677397893671,0.0
simultaneously,0.30069912474539134,0.30069912474539134,0.0
illusion,0.30062487312085096,0.30062487312085096,0.0
transient,0.3005324049782213,0.3005324049782213,0.0
new insights,0.30033128914916535,0.30033128914916535,0.0
peripheral,0.3003254710510917,0.3003254710510917,0.0
paced,0.3002824418673271,0.3002824418673271,0.0
ba,0.3002755483623122,0.3002755483623122,0.0
voluntary,0.3002492381870001,0.3002492381870001,0.0
cued,0.3000833322066295,0.3000833322066295,0.0
absent,0.29997598238670053,0.29997598238670053,0.0
allowing,0.2999690489363779,0.2999690489363779,0.0
hierarchy,0.2998588839788034,0.2998588839788034,0.0
dorsal ventral,0.29969046482994155,0.29969046482994155,0.0
rt,0.2996795002693809,0.2996795002693809,0.0
fundamental,0.29949275409333037,0.29949275409333037,0.0
training,0.2994498618172241,0.2994498618172241,0.0
bold,0.299445511144393,0.299445511144393,0.0
did,0.29921726515997776,0.29921726515997776,0.0
apparent,0.2991965828254532,0.2991965828254532,0.0
serial,0.29911140399807246,0.29911140399807246,0.0
engages,0.2990837730266151,0.2990837730266151,0.0
causal,0.29903546687307003,0.29903546687307003,0.0
neurophysiological,0.29903205234135055,0.29903205234135055,0.0
potentials,0.2990157250398505,0.2990157250398505,0.0
discriminate,0.29892266045312926,0.29892266045312926,0.0
videos,0.29890787904210875,0.29890787904210875,0.0
functional magnetic,0.29879656809449534,0.29879656809449534,0.0
shifting,0.2987898921801563,0.2987898921801563,0.0
ms,0.29871959720205915,0.29871959720205915,0.0
faces,0.29864054376502136,0.29864054376502136,0.0
entire,0.2986368758017051,0.2986368758017051,0.0
varied,0.29847713347655636,0.29847713347655636,0.0
error,0.29846566593274315,0.29846566593274315,0.0
cortices,0.2984643733055517,0.2984643733055517,0.0
complete,0.2983970200320896,0.2983970200320896,0.0
gyrus ba,0.2983830392506286,0.2983830392506286,0.0
silent,0.2982599599928297,0.2982599599928297,0.0
occurs,0.2981834743307595,0.2981834743307595,0.0
distractor,0.29817331399538916,0.29817331399538916,0.0
verbal working,0.2980933627043524,0.2980933627043524,0.0
intraparietal sulcus,0.2980704583898663,0.2980704583898663,0.0
short term,0.2980508788163548,0.2980508788163548,0.0
repetition,0.29784323916653055,0.29784323916653055,0.0
maintaining,0.2978339744900325,0.2978339744900325,0.0
delayed,0.2978266644578522,0.2978266644578522,0.0
watching,0.29776945710395825,0.29776945710395825,0.0
pseudowords,0.2977280857960304,0.2977280857960304,0.0
form,0.29762146562890723,0.29762146562890723,0.0
light,0.29752328660909033,0.29752328660909033,0.0
bias,0.29743430739092885,0.29743430739092885,0.0
network involved,0.29734083127929295,0.29734083127929295,0.0
role,0.29732942032884857,0.29732942032884857,0.0
hand,0.29721955744529427,0.29721955744529427,0.0
inferior,0.2972034138013886,0.2972034138013886,0.0
decreasing,0.29702945359758015,0.29702945359758015,0.0
resulting,0.29688998113919657,0.29688998113919657,0.0
intraparietal,0.29688886096903916,0.29688886096903916,0.0
prominent,0.2968752804226829,0.2968752804226829,0.0
environment,0.2968544499191323,0.2968544499191323,0.0
natural,0.29685441660413503,0.29685441660413503,0.0
passive,0.2965419409903903,0.2965419409903903,0.0
gyrus,0.29641711294872913,0.29641711294872913,0.0
